prompt,predicted_fom,composition.Co,composition.Sb,composition.In,composition.Sr,composition.As,site_allocation.In,site_allocation.Sr,site_allocation.As,composition.Tl,composition.Hf,site_allocation.Tl,site_allocation.Hf,composition.Pb,composition.Ce,site_allocation.Pb,site_allocation.Ce,composition.Li,composition.Mg,site_allocation.Li,site_allocation.Mg,composition.Cu,composition.Zr,site_allocation.Cu,site_allocation.Zr,composition.Na,site_allocation.Na,composition.Yb,site_allocation.Yb,composition.Ca,site_allocation.Ca,composition.Si,site_allocation.Si,composition.Pd,site_allocation.Pd,composition.Mo,site_allocation.Mo,composition.Ba,site_allocation.Ba,composition.Mn,site_allocation.Mn,composition.Dy,composition.Pr,site_allocation.Dy,site_allocation.Pr,composition.Cl,site_allocation.Cl,composition.O,site_allocation.O,composition.Sm,composition.S,site_allocation.Sm,site_allocation.S,composition.C,site_allocation.C,composition.F,site_allocation.F,composition.La,site_allocation.La,composition.Eu,composition.Zn,site_allocation.Eu,site_allocation.Zn,composition.Al,site_allocation.Al,composition.Gd,site_allocation.Gd,composition.Ni,composition.Ga,site_allocation.Ni,site_allocation.Ga,composition.Sn,site_allocation.Sn,composition.W,site_allocation.W,composition.Nd,site_allocation.Nd,composition.Mm,site_allocation.Mm,composition.Y,site_allocation.Y,composition.Te,site_allocation.Te,composition.Ag,site_allocation.Ag,composition.G,site_allocation.G,composition.Fe,site_allocation.Fe,composition.Bi,site_allocation.Bi
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.15625, 'Sr': 0.078125, 'As': 0.015625}, Temperature: 683K",1.0423150062561035,1,3,0.15625,0.078125,0.015625,"['K', 'O', 'L', 'H', 'B', 'P', 'E', 'J', 'I', 'N']","['C', 'G', 'M', 'A', 'D']",['F'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.109375, 'Hf': 0.03125}, Temperature: 553K",1.0322471857070923,1,3,,,,,,,0.109375,0.03125,"['J', 'D', 'H', 'P', 'F', 'O', 'I']","['K', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.1875}, Temperature: 683K",1.0102365016937256,1,3,,,,,,,0.1875,,"['H', 'O', 'A', 'J', 'K', 'F', 'I', 'D', 'N', 'P', 'C', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Hf': 0.140625, 'Pb': 0.03125, 'Ce': 0.0625}, Temperature: 457K",1.1546814441680908,1,3,,,,,,,,0.140625,,"['M', 'B', 'G', 'N', 'J', 'I', 'C', 'D', 'O']",0.03125,0.0625,"['A', 'K']","['F', 'H', 'E', 'L']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ce': 0.03125, 'Li': 0.1875, 'Mg': 0.03125}, Temperature: 438K",1.2963870763778687,1,3,,,,,,,,,,,,0.03125,,"['O', 'M']",0.1875,0.03125,"['A', 'N', 'E', 'D', 'I', 'L', 'J', 'K', 'H', 'F', 'P', 'G']","['C', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cu': 0.03125, 'Tl': 0.0625, 'Zr': 0.125}, Temperature: 684K",1.0950671434402466,1,3,,,,,,,0.0625,,"['I', 'J', 'N', 'F']",,,,,,,,,,0.03125,0.125,"['C', 'P']","['B', 'E', 'D', 'K', 'M', 'H', 'L', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.046875, 'Na': 0.078125}, Temperature: 774K",1.0804548263549805,1,3,,,,,,,0.046875,,"['E', 'B', 'N']",,,,,,,,,,,,,,0.078125,"['G', 'C', 'K', 'P', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'As': 0.0625, 'In': 0.15625}, Temperature: 615K",1.0000181198120117,1,3,0.15625,,0.0625,"['P', 'F', 'L', 'O', 'C', 'M', 'I', 'A', 'B', 'E']",,"['G', 'D', 'J', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'As': 0.0625, 'In': 0.140625}, Temperature: 607K",1.0253944396972656,1,3,0.140625,,0.0625,"['M', 'D', 'N', 'K', 'B', 'O', 'E', 'J', 'A']",,"['F', 'G', 'L', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pb': 0.078125, 'Yb': 0.140625}, Temperature: 418K",1.1030831336975098,1,3,,,,,,,,,,,0.078125,,"['M', 'O', 'K', 'F', 'C']",,,,,,,,,,,,0.140625,"['E', 'J', 'A', 'L', 'G', 'H', 'D', 'P', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
