prompt,predicted_fom,composition.Co,composition.Sb,composition.Dy,site_allocation.Dy,composition.Mg,composition.Pd,composition.Cl,site_allocation.Mg,site_allocation.Pd,site_allocation.Cl,composition.Cd,composition.Mn,composition.S,site_allocation.Cd,site_allocation.Mn,site_allocation.S,composition.As,site_allocation.As,composition.Mm,composition.Yb,composition.O,site_allocation.Mm,site_allocation.Yb,site_allocation.O,composition.Nd,site_allocation.Nd,composition.Eu,site_allocation.Eu,composition.K,site_allocation.K,composition.Zn,composition.G,site_allocation.Zn,site_allocation.G,composition.Te,site_allocation.Te,composition.Ti,site_allocation.Ti,composition.F,site_allocation.F,composition.Gd,site_allocation.Gd,composition.Ag,site_allocation.Ag,composition.Cu,site_allocation.Cu,composition.Pr,site_allocation.Pr,composition.Al,site_allocation.Al,composition.Si,composition.W,site_allocation.Si,site_allocation.W,composition.Ba,site_allocation.Ba,composition.Hf,site_allocation.Hf,composition.Bi,site_allocation.Bi,composition.Sn,site_allocation.Sn,composition.Ga,site_allocation.Ga,composition.Na,site_allocation.Na,composition.Li,site_allocation.Li,composition.C,site_allocation.C,composition.Ce,site_allocation.Ce,composition.Mo,site_allocation.Mo,composition.Sm,site_allocation.Sm,composition.La,site_allocation.La,composition.Y,site_allocation.Y,composition.Ni,site_allocation.Ni,composition.Sr,site_allocation.Sr,composition.Fe,site_allocation.Fe,composition.Tl,composition.Pb,site_allocation.Tl,site_allocation.Pb,composition.Zr,site_allocation.Zr
"Composition: {'Co': 1, 'Sb': 3, 'Dy': 0.1875}, Temperature: 670K",0.1729658991098404,1,3,0.1875,"['N', 'C', 'G', 'P', 'M', 'A', 'E', 'L', 'B', 'I', 'H', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mg': 0.171875, 'Pd': 0.015625, 'Cl': 0.03125}, Temperature: 642K",0.3192034959793091,1,3,,,0.171875,0.015625,0.03125,"['J', 'N', 'N', 'K', 'I', 'C', 'H', 'D', 'P', 'M', 'F']",['L'],"['E', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cd': 0.109375, 'Mn': 0.109375, 'S': 0.03125}, Temperature: 475K",0.1435357928276062,1,3,,,,,,,,,0.109375,0.109375,0.03125,"['I', 'P', 'H', 'L', 'N', 'J', 'B']","['E', 'C', 'G', 'D', 'M', 'K', 'F']","['O', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'As': 0.1875}, Temperature: 434K",0.16424031555652618,1,3,,,,,,,,,,,,,,,0.1875,"['H', 'L', 'N', 'I', 'C', 'P', 'B', 'E', 'N', 'J', 'G', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mm': 0.015625, 'Yb': 0.0625, 'O': 0.09375}, Temperature: 746K",0.37316450476646423,1,3,,,,,,,,,,,,,,,,,0.015625,0.0625,0.09375,['C'],"['N', 'M', 'P', 'B']","['G', 'F', 'O', 'K', 'J', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Nd': 0.21875}, Temperature: 341K",0.08634644746780396,1,3,,,,,,,,,,,,,,,,,,,,,,,0.21875,"['K', 'P', 'E', 'D', 'H', 'C', 'L', 'F', 'M', 'A', 'B', 'N', 'J', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Eu': 0.1875}, Temperature: 760K",0.2213428020477295,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,"['D', 'C', 'M', 'O', 'B', 'F', 'H', 'L', 'E', 'J', 'A', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'K': 0.203125}, Temperature: 674K",0.15603592991828918,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203125,"['K', 'E', 'B', 'G', 'C', 'H', 'M', 'O', 'J', 'A', 'D', 'I', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mm': 0.03125, 'Cl': 0.078125}, Temperature: 490K",0.20458635687828064,1,3,,,,,0.078125,,,"['O', 'M', 'D', 'B', 'N']",,,,,,,,,0.03125,,,"['P', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Zn': 0.0625, 'Mg': 0.03125, 'G': 0.15625}, Temperature: 496K",0.35040658712387085,1,3,,,0.03125,,,"['L', 'B']",,,,,,,,,,,,,,,,,,,,,,,0.0625,0.15625,"['K', 'J', 'N', 'A']","['I', 'M', 'F', 'P', 'H', 'G', 'N', 'O', 'C', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
